,total_time,common_opt,my_opt_time,o3_opt,Benchmark,type
0,0.44812512397766113,0.09515023231506348,0.040994882583618164,0.3119800090789795,correlation,store
1,0.4115622043609619,0.07880043983459473,0.03832197189331055,0.29443979263305664,covarianc,store
2,0.41332387924194336,0.08946847915649414,0.036638498306274414,0.2872169017791748,gemm,store
3,0.4482107162475586,0.09177875518798828,0.03918051719665527,0.31725144386291504,gemver,store
4,0.3342759609222412,0.07305240631103516,0.03553152084350586,0.2256920337677002,gesummv,store
5,0.46075963973999023,0.09138989448547363,0.03804516792297363,0.33132457733154297,symm,store
6,0.38010096549987793,0.08338642120361328,0.035689592361450195,0.26102495193481445,syrk,store
7,0.37917113304138184,0.07942867279052734,0.034574270248413086,0.2651681900024414,trmm,store
8,0.4562723636627197,0.10934996604919434,0.04119277000427246,0.30572962760925293,2mm,store
9,0.494213342666626,0.12050366401672363,0.0410611629486084,0.33264851570129395,3mm,store
10,0.3401048183441162,0.07103776931762695,0.03454470634460449,0.23452234268188477,ata,store
11,0.3545994758605957,0.07529592514038086,0.0361332893371582,0.24317026138305664,bicg,store
12,0.501655101776123,0.09430098533630371,0.038976430892944336,0.368377685546875,doitgen,store
13,0.3645639419555664,0.0776662826538086,0.03617453575134277,0.25072312355041504,mvt,store
14,0.5141744613647461,0.10563993453979492,0.03953266143798828,0.3690018653869629,cholesky,store
15,0.45470714569091797,0.10558581352233887,0.03968644142150879,0.3094348907470703,gramschmidt,store
16,0.5223972797393799,0.10340738296508789,0.04042220115661621,0.3785676956176758,lu,store
17,0.608489990234375,0.12871003150939941,0.04133939743041992,0.43844056129455566,ludcmp,store
18,0.34594082832336426,0.06936025619506836,0.03707432746887207,0.23950624465942383,trisolv,store
19,0.5892794132232666,0.11955118179321289,0.04282999038696289,0.4268982410430908,fdtd-2d,store
0,0.4422280788421631,0.09997105598449707,0.039513349533081055,0.30274367332458496,correlation,load
1,0.39263224601745605,0.08222651481628418,0.03671884536743164,0.27368688583374023,covarianc,load
2,0.386523962020874,0.08905649185180664,0.0301513671875,0.2673161029815674,gemm,load
3,0.43266725540161133,0.09122395515441895,0.039021968841552734,0.30242133140563965,gemver,load
4,0.3269364833831787,0.07355022430419922,0.03145265579223633,0.22193360328674316,gesummv,load
5,0.45160698890686035,0.09050393104553223,0.035986900329589844,0.3251161575317383,symm,load
6,0.3820650577545166,0.08199954032897949,0.03549504280090332,0.2645704746246338,syrk,load
7,0.381591796875,0.07724380493164062,0.03385591506958008,0.2704920768737793,trmm,load
8,0.4521493911743164,0.10847258567810059,0.039305686950683594,0.3043711185455322,2mm,load
9,0.48346900939941406,0.11612534523010254,0.04117441177368164,0.3261692523956299,3mm,load
10,0.3429698944091797,0.07476043701171875,0.03486275672912598,0.23334670066833496,ata,load
11,0.35796308517456055,0.07845926284790039,0.03897428512573242,0.24052953720092773,bicg,load
12,0.4983489513397217,0.09570670127868652,0.03589463233947754,0.3667476177215576,doitgen,load
13,0.3654673099517822,0.0812838077545166,0.035697221755981445,0.24848628044128418,mvt,load
14,0.5007352828979492,0.10529756546020508,0.0386815071105957,0.35675621032714844,cholesky,load
15,0.4476051330566406,0.10415959358215332,0.03893899917602539,0.3045065402984619,gramschmidt,load
16,0.505817174911499,0.10558056831359863,0.03306293487548828,0.3671736717224121,lu,load
17,0.6086676120758057,0.13164210319519043,0.0417172908782959,0.43530821800231934,ludcmp,load
18,0.3442211151123047,0.07040286064147949,0.03407144546508789,0.2397468090057373,trisolv,load
19,0.5347504615783691,0.12202024459838867,0.04271650314331055,0.3700137138366699,fdtd-2d,load
0,0.6304769515991211,0.12914109230041504,0.0703279972076416,0.43100786209106445,correlation,intra
1,0.5468220710754395,0.11126136779785156,0.06314992904663086,0.37241077423095703,covarianc,intra
2,0.525540828704834,0.1175236701965332,0.06429433822631836,0.3437228202819824,gemm,intra
3,0.6020612716674805,0.12204575538635254,0.07297182083129883,0.4070436954498291,gemver,intra
4,0.4575209617614746,0.09434700012207031,0.05839872360229492,0.3047752380371094,gesummv,intra
5,0.5909714698791504,0.11938929557800293,0.06267499923706055,0.4089071750640869,symm,intra
6,0.5029559135437012,0.10671520233154297,0.05918741226196289,0.3370532989501953,syrk,intra
7,0.48769497871398926,0.10384249687194824,0.05637979507446289,0.3274726867675781,trmm,intra
8,0.618232011795044,0.14293193817138672,0.0733041763305664,0.4019958972930908,2mm,intra
9,0.7057850360870361,0.15652799606323242,0.08063721656799316,0.46861982345581055,3mm,intra
10,0.46527910232543945,0.09687352180480957,0.05901765823364258,0.3093879222869873,ata,intra
11,0.4961404800415039,0.10344457626342773,0.06070065498352051,0.33199524879455566,bicg,intra
12,0.6018462181091309,0.12067055702209473,0.0629422664642334,0.41823339462280273,doitgen,intra
13,0.49599504470825195,0.10539841651916504,0.060239553451538086,0.33035707473754883,mvt,intra
14,0.7070155143737793,0.13228154182434082,0.07071685791015625,0.5040171146392822,cholesky,intra
15,0.6128509044647217,0.1346447467803955,0.06223034858703613,0.41597580909729004,gramschmidt,intra
16,0.728837251663208,0.12952971458435059,0.07256746292114258,0.5267400741577148,lu,intra
17,0.7798278331756592,0.16676974296569824,0.07658529281616211,0.5364727973937988,ludcmp,intra
18,0.44861650466918945,0.08999323844909668,0.05510997772216797,0.3035132884979248,trisolv,intra
19,0.7563381195068359,0.15429472923278809,0.0698697566986084,0.5321736335754395,fdtd-2d,intra
0,1.023040771484375,0.12946200370788574,0.16254901885986328,0.731029748916626,correlation,inter
1,0.8436195850372314,0.10830259323120117,0.11750507354736328,0.617811918258667,covarianc,inter
2,0.6658577919006348,0.11924409866333008,0.08362746238708496,0.4629862308502197,gemm,inter
3,0.7502202987670898,0.12369441986083984,0.1026003360748291,0.5239255428314209,gemver,inter
4,0.5380535125732422,0.0936729907989502,0.07274866104125977,0.3716318607330322,gesummv,inter
5,0.6374781131744385,0.12016725540161133,0.06789183616638184,0.4494190216064453,symm,inter
6,0.6516740322113037,0.10521459579467773,0.07986092567443848,0.4665985107421875,syrk,inter
7,0.6109147071838379,0.10161662101745605,0.07528567314147949,0.43401241302490234,trmm,inter
8,0.8107635974884033,0.1417529582977295,0.10924410820007324,0.5597665309906006,2mm,inter
9,0.9047982692718506,0.15665459632873535,0.1252284049987793,0.6229152679443359,3mm,inter
10,0.5777122974395752,0.09391188621520996,0.07212305068969727,0.41167736053466797,ata,inter
11,0.5707733631134033,0.10312604904174805,0.07546663284301758,0.3921806812286377,bicg,inter
12,0.7364380359649658,0.12144637107849121,0.07635021209716797,0.5386414527893066,doitgen,inter
13,0.5867154598236084,0.10400891304016113,0.0768117904663086,0.40589475631713867,mvt,inter
14,0.9397222995758057,0.12836980819702148,0.11119318008422852,0.7001593112945557,cholesky,inter
15,0.7521145343780518,0.1367480754852295,0.09198927879333496,0.5233771800994873,gramschmidt,inter
16,0.9757986068725586,0.13372230529785156,0.11017036437988281,0.7319059371948242,lu,inter
17,0.8653683662414551,0.1718919277191162,0.08924126625061035,0.6042351722717285,ludcmp,inter
18,0.5091488361358643,0.08699822425842285,0.05826973915100098,0.36388087272644043,trisolv,inter
19,0.9915692806243896,0.15382909774780273,0.11460590362548828,0.7231342792510986,fdtd-2d,inter
