strategy,factor,mean,std,median
ILP,0,1.584,0.269,1.494
ILP,0.05,1.472,0.044,1.465
ILP,0.1,1.590,0.235,1.528
ILP,0.15,1.512,0.070,1.469
ILP,0.2,1.607,0.230,1.514
ILP,0.25,1.651,0.304,1.538
ILP,0.3,1.569,0.236,1.430
ILP,0.35,1.450,0.028,1.461
ILP,0.4,1.632,0.292,1.502
ILP,0.45,1.540,0.083,1.546
ILP,0.5,1.480,0.058,1.476
ILP,0.55,1.699,0.029,1.702
ILP,0.6,1.622,0.039,1.614
ILP,0.65,1.551,0.037,1.565
ILP,0.7,1.453,0.036,1.475
ILP,0.75,1.309,0.026,1.320
ILP,0.8,1.154,0.036,1.145
ILP,0.85,1.028,0.019,1.018
ILP,0.9,0.888,0.012,0.894
ILP,0.95,0.742,0.010,0.738
